name,url
philadelphia,https://philadelphia.craigslist.org/
pittsburgh,https://pittsburgh.craigslist.org/
poconos,https://poconos.craigslist.org/
reading,https://reading.craigslist.org/
scranton / wilkes-barre,https://scranton.craigslist.org/
state college,https://pennstate.craigslist.org/
williamsport,https://williamsport.craigslist.org/
york,https://york.craigslist.org/
rhode island,https://providence.craigslist.org/
charleston,https://charleston.craigslist.org/
columbia,https://columbia.craigslist.org/
florence,https://florencesc.craigslist.org/
greenville / upstate,https://greenville.craigslist.org/
hilton head,https://hiltonhead.craigslist.org/
myrtle beach,https://myrtlebeach.craigslist.org/
northeast SD,https://nesd.craigslist.org/
pierre / central SD,https://csd.craigslist.org/
rapid city / west SD,https://rapidcity.craigslist.org/
sioux falls / SE SD,https://siouxfalls.craigslist.org/
south dakota,https://sd.craigslist.org/
chattanooga,https://chattanooga.craigslist.org/
clarksville,https://clarksville.craigslist.org/
cookeville,https://cookeville.craigslist.org/
jackson  ,https://jacksontn.craigslist.org/
knoxville,https://knoxville.craigslist.org/
memphis,https://memphis.craigslist.org/
nashville,https://nashville.craigslist.org/
tri-cities,https://tricities.craigslist.org/
abilene,https://abilene.craigslist.org/
amarillo,https://amarillo.craigslist.org/
austin,https://austin.craigslist.org/
beaumont / port arthur,https://beaumont.craigslist.org/
brownsville,https://brownsville.craigslist.org/
college station,https://collegestation.craigslist.org/
corpus christi,https://corpuschristi.craigslist.org/
dallas / fort worth,https://dallas.craigslist.org/
deep east texas,https://nacogdoches.craigslist.org/
del rio / eagle pass,https://delrio.craigslist.org/
el paso,https://elpaso.craigslist.org/
galveston,https://galveston.craigslist.org/
houston,https://houston.craigslist.org/
killeen / temple / ft hood,https://killeen.craigslist.org/
laredo,https://laredo.craigslist.org/
lubbock,https://lubbock.craigslist.org/
mcallen / edinburg,https://mcallen.craigslist.org/
odessa / midland,https://odessa.craigslist.org/
san angelo,https://sanangelo.craigslist.org/
san antonio,https://sanantonio.craigslist.org/
san marcos,https://sanmarcos.craigslist.org/
southwest TX,https://bigbend.craigslist.org/
texoma,https://texoma.craigslist.org/
tyler / east TX,https://easttexas.craigslist.org/
victoria ,https://victoriatx.craigslist.org/
waco,https://waco.craigslist.org/
wichita falls,https://wichitafalls.craigslist.org/
logan,https://logan.craigslist.org/
ogden-clearfield,https://ogden.craigslist.org/
provo / orem,https://provo.craigslist.org/
salt lake city,https://saltlakecity.craigslist.org/
st george,https://stgeorge.craigslist.org/
vermont,https://vermont.craigslist.org/
charlottesville,https://charlottesville.craigslist.org/
danville,https://danville.craigslist.org/
fredericksburg,https://fredericksburg.craigslist.org/
hampton roads,https://norfolk.craigslist.org/
harrisonburg,https://harrisonburg.craigslist.org/
lynchburg,https://lynchburg.craigslist.org/
new river valley,https://blacksburg.craigslist.org/
richmond,https://richmond.craigslist.org/
roanoke,https://roanoke.craigslist.org/
southwest VA,https://swva.craigslist.org/
winchester,https://winchester.craigslist.org/
bellingham,https://bellingham.craigslist.org/
kennewick-pasco-richland,https://kpr.craigslist.org/
moses lake,https://moseslake.craigslist.org/
olympic peninsula,https://olympic.craigslist.org/
pullman / moscow,https://pullman.craigslist.org/
seattle-tacoma,https://seattle.craigslist.org/
skagit / island / SJI,https://skagit.craigslist.org/
spokane / coeur d'alene,https://spokane.craigslist.org/
wenatchee,https://wenatchee.craigslist.org/
yakima,https://yakima.craigslist.org/
charleston ,https://charlestonwv.craigslist.org/
eastern panhandle,https://martinsburg.craigslist.org/
huntington-ashland,https://huntington.craigslist.org/
morgantown,https://morgantown.craigslist.org/
northern panhandle,https://wheeling.craigslist.org/
parkersburg-marietta,https://parkersburg.craigslist.org/
southern WV,https://swv.craigslist.org/
west virginia (old),https://wv.craigslist.org/
appleton-oshkosh-FDL,https://appleton.craigslist.org/
eau claire,https://eauclaire.craigslist.org/
green bay,https://greenbay.craigslist.org/
janesville,https://janesville.craigslist.org/
kenosha-racine,https://racine.craigslist.org/
la crosse,https://lacrosse.craigslist.org/
madison,https://madison.craigslist.org/
milwaukee,https://milwaukee.craigslist.org/
northern WI,https://northernwi.craigslist.org/
sheboygan,https://sheboygan.craigslist.org/
wausau,https://wausau.craigslist.org/
wyoming,https://wyoming.craigslist.org/
guam-micronesia,https://micronesia.craigslist.org/
puerto rico,https://puertorico.craigslist.org/
U.S. virgin islands,https://virgin.craigslist.org/
